ID,main_category,goal,pledged,state,backers
1000002330,Publishing,1000,0,0,0
1000003930,Film & Video,30000,2421,0,15
1000004038,Film & Video,45000,220,0,3
1000007540,Music,5000,1,0,1
1000011046,Film & Video,19500,1283,0,14
1000014025,Food,50000,52375,1,224
1000023410,Food,1000,1205,1,16
1000030581,Food,25000,453,0,40
1000034518,Design,125000,8233,0,58
100004195,Film & Video,65000,6240.57,0,43
100004721,Publishing,2500,0,0,0
100005484,Music,12500,12700,1,100
1000055792,Crafts,5000,0,0,0
1000056157,Games,200000,0,0,0
1000057089,Games,5000,94175,1,761
1000064368,Design,2500,664,0,11
1000064918,Comics,1500,395,0,16
1000068480,Publishing,3000,789,0,20
1000070642,Music,250,250,1,7
1000071625,Food,5000,1781,0,40
1000072011,Fashion,20000,34268,1,624
1000081649,Fashion,2500,1,0,1
1000082254,Theater,3500,650,0,12
1000087442,Food,500,48,0,3
1000091520,Comics,175,701.66,1,66
1000102741,Music,10000,15827,1,147
1000103948,Crafts,12000,0,0,0
1000104688,Film & Video,17757,48905,1,571
1000104953,Comics,100,112.38,1,27
100011318,Film & Video,50000,57577.31,1,840
1000115172,Food,3500,21,0,1
1000117861,Design,1000,47266,1,549
1000120151,Design,2000,2000,1,18
1000120287,Art,25000,1395,0,30
100012079,Music,12000,13260,1,92
1000129669,Film & Video,10000,1373.37,0,54
1000131947,Music,4000,8641.34,1,157
1000132945,Film & Video,10000,15663,1,213
1000134913,Art,3000,17,0,2
1000146991,Music,15000,17499.99,1,277
1000149007,Publishing,3000,592,live,24
1000153208,Music,2100,2100,1,34
1000160286,Photography,15000,23907,1,232
1000170964,Games,1500,856,0,25
1000171141,Music,10000,12656,1,181
1000182258,Film & Video,2500,0,0,0
1000183112,Food,40000,63401,1,855
1000184224,Film & Video,8000,9401,1,154
1000190427,Games,3000,8105,1,218
1000197321,Art,1200,90,0,4
1000201265,Film & Video,60000,61365.16,1,632
100020143,Photography,9500,6,0,2
1000202062,Art,7500,3,0,3
1000212914,Photography,4000,4866.17,1,71
1000216800,Film & Video,11000,11055,1,51
1000217634,Food,13750,1,0,1
1000226576,Publishing,13500,0,0,0
1000227361,Film & Video,9500,9660,1,121
1000230071,Film & Video,60000,635,0,5
1000232288,Games,25000,37199,1,448
1000233415,Film & Video,250000,65,0,2
1000234595,Fashion,12000,137,0,2
1000235465,Art,5000,587,0,8
1000235643,Food,15000,124998,1,2784
1000243793,Music,850,485,0,13
1000245024,Technology,50000,0,0,0
1000252415,Theater,15000,15425,1,144
1000256230,Technology,2000,0,0,0
1000256760,Design,15000,700,0,6
1000257563,Crafts,5000,2,0,1
1000260691,Technology,87000,2030,0,15
1000261018,Technology,100000,141,0,3
1000268182,Music,4000,4795,1,95
1000278154,Games,13000,2453,0,65
1000282287,Food,25000,0,0,0
1000291122,Design,500,218,0,6
1000291263,Fashion,68000,0,0,0
1000294559,Theater,7500,8157.01,1,164
1000320473,Film & Video,29700,10410,0,76
1000328150,Games,50000,1410,0,38
1000328328,Fashion,2000,61,0,9
1000331311,Games,13000,1811,0,34
1000332383,Film & Video,4000,4045,1,29
1000333671,Music,500,1540,1,31
1000334074,Fashion,500,754.82,1,36
1000335422,Comics,4000,4944.5,1,153
1000338818,Publishing,10000,88,0,9
1000339877,Theater,5000,110,0,2
1000340977,Food,3000,1027,0,18
1000344383,Music,4500,409,0,10
1000348690,Games,5000,11238,1,346
1000348776,Comics,4289,474,0,14
1000354338,Theater,2000,2075,1,40
10003650,Music,15000,151,0,4
1000374001,Music,10000,10414,1,113
1000386601,Film & Video,1500,1932.99,1,29
1000389241,Film & Video,3000,3755,1,52
1000392220,Film & Video,2000,2252.99,1,45
100039820,Technology,25000,3,0,3
1000399155,Food,5000,0,0,0
1000405957,Film & Video,500,756,1,8
1000413719,Music,200,274.05,1,14
1000415969,Publishing,1000,1055,1,19
1000422671,Design,500,156,0,4
1000427280,Technology,50000,11336,0,19
1000428719,Food,20000,47273,1,1261
10004373,Film & Video,1800,22,0,2
100044420,Film & Video,5000,50,0,3
1000445513,Fashion,5400,5858,1,131
1000450327,Fashion,1750,1805,1,25
1000454605,Music,1000,1455,1,41
1000465399,Games,19500,20269,1,491
1000468345,Technology,500,74,0,6
1000476123,Food,100,0,0,0
1000479996,Music,10000,10,0,1
1000481607,Music,1000,472,0,13
1000490852,Art,8000,8360,1,121
1000491057,Film & Video,50000,40,0,3
1000491830,Music,6325,10,0,2
1000499845,Film & Video,20000,270,0,4
1000509854,Publishing,25000,0,0,0
1000514796,Design,125000,3012,0,67
100051531,Dance,3400,0,0,0
1000519001,Games,2000,14794,1,624
1000521061,Food,20000,0,0,0
1000521421,Photography,3200,568,0,11
1000524949,Games,200,306.72,1,36
1000535116,Technology,250000,90771,0,120
1000537760,Art,650,0,0,0
1000542390,Film & Video,500,5,0,1
1000543883,Art,800,1062.57,1,20
1000545028,Film & Video,5000,5037,1,47
1000549881,Music,10000,4006,0,44
1000551777,Technology,4000,282,0,12
1000553538,Publishing,1400,2535,1,49
1000558429,Technology,15000,25,0,1
1000566862,Games,25000,65,0,3
1000567557,Music,3000,260,0,8
100056789,Publishing,3000,3165,1,33
100057323,Art,650,2354.5,1,53
1000577059,Photography,1000,95,0,3
10005784,Film & Video,750,756,1,15
1000581546,Art,1500,1515.5,1,19
1000581804,Design,500,0,0,0
1000586849,Fashion,2500,25,0,1
1000590709,Technology,6000,20,0,2
1000598804,Games,1000,875,0,14
1000600012,Publishing,10000,1,0,1
1000600526,Music,600,0,0,0
1000600868,Music,18000,10,0,1
1000602156,Games,12000,3100.66,0,89
1000620551,Games,1925,293,0,5
1000624031,Technology,8500,1355,0,4
1000627718,Theater,7500,8315,1,67
1000629643,Technology,250000,268192,1,561
1000638156,Photography,500,10,0,1
1000639526,Film & Video,60000,5487,0,90
1000644119,Film & Video,100,20,0,2
1000648117,Publishing,1000,2883.5,1,78
1000648918,Games,70000,15542.11,0,260
100065084,Music,1450,1647,1,33
1000650960,Games,7500,942.25,0,55
1000654344,Fashion,36000,91003.67,1,750
1000654409,Technology,50000,4237,0,12
1000656794,Technology,129000,11601.5,0,32
1000659557,Music,5000,0,0,0
1000674477,Film & Video,100000,8085,0,37
1000682368,Publishing,2500,1315,0,29
1000684975,Art,1200,2,0,2
1000694855,Film & Video,6500,555,undefined,0
1000697657,Technology,2000,656,0,18
1000699196,Music,32000,4670,0,42
1000707541,Music,777,923,1,36
1000710630,Publishing,7500,9500,1,86
1000719127,Film & Video,50000,2161,0,26
1000725978,Design,80000,843743,1,3784
1000727191,Music,2000,2036,1,38
1000727905,Design,9500,0,0,0
1000741180,Film & Video,5000,5120,1,81
1000741387,Design,10000,805,0,10
